ICD-10-CM,description,dx_broad,Diagnosis,Sheet 
A021,Salmonella sepsis,sepsis,Cancer of brain and nervous system,CCS 2015 -> ICD-10
A403,Sepsis due to Streptococcus pneumoniae,sepsis,Cancer of brain and nervous system,CCS 2015 -> ICD-11
A409,"Streptococcal sepsis, unspecified",sepsis,Cancer of brain and nervous system,CCS 2015 -> ICD-12
A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,sepsis,Cancer of brain and nervous system,CCS 2015 -> ICD-13
A413,Sepsis due to Hemophilus influenzae,sepsis,Cancer of brain and nervous system,CCS 2015 -> ICD-14
A414,Sepsis due to anaerobes,sepsis,Cancer of brain and nervous system,CCS 2015 -> ICD-15
A4150,"Gram-negative sepsis, unspecified",sepsis,Cancer of brain and nervous system,CCS 2015 -> ICD-16
A4151,Sepsis due to Escherichia coli [E. coli],sepsis,Cancer of brain and nervous system,CCS 2015 -> ICD-17
A4152,Sepsis due to Pseudomonas,sepsis,Cancer of brain and nervous system,CCS 2015 -> ICD-18
A4153,Sepsis due to Serratia,sepsis,Cancer of brain and nervous system,CCS 2015 -> ICD-19
A4159,Other Gram-negative sepsis,sepsis,Cancer of brain and nervous system,CCS 2015 -> ICD-20
A4189,Other specified sepsis,sepsis,Cancer of brain and nervous system,CCS 2015 -> ICD-21
A419,"Sepsis, unspecified organism",sepsis,Cancer of brain and nervous system,CCS 2015 -> ICD-22
B007,Disseminated herpesviral disease,other,Cancer of brain and nervous system,CCS 2015 -> ICD-23
C000,Malignant neoplasm of external upper lip,cancer,Cancer of brain and nervous system,CCS 2015 -> ICD-24
C001,Malignant neoplasm of external lower lip,cancer,Cancer of brain and nervous system,CCS 2015 -> ICD-25
C002,"Malignant neoplasm of external lip, unspecified",cancer,Cancer of brain and nervous system,CCS 2015 -> ICD-26
C003,"Malignant neoplasm of upper lip, inner aspect",cancer,Cancer of brain and nervous system,CCS 2015 -> ICD-27
C004,"Malignant neoplasm of lower lip, inner aspect",cancer,Cancer of brain and nervous system,CCS 2015 -> ICD-28
C005,,cancer,Cancer of brain and nervous system,CCS 2015 -> ICD-29
C006,"Malignant neoplasm of commissure of lip, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-30
C008,Malignant neoplasm of overlapping sites of lip,cancer,Non CNS Cancer,CCS 2015 -> ICD-31
C01,Malignant neoplasm of base of tongue,cancer,Non CNS Cancer,CCS 2015 -> ICD-32
C020,Malignant neoplasm of dorsal surface of tongue,cancer,Non CNS Cancer,CCS 2015 -> ICD-33
C021,Malignant neoplasm of border of tongue,cancer,Non CNS Cancer,CCS 2015 -> ICD-34
C022,Malignant neoplasm of ventral surface of tongue,cancer,Non CNS Cancer,CCS 2015 -> ICD-35
C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-36
C024,Malignant neoplasm of lingual tonsil,cancer,Non CNS Cancer,CCS 2015 -> ICD-37
C028,Malignant neoplasm of overlapping sites of tongue,cancer,Non CNS Cancer,CCS 2015 -> ICD-38
C028,Malignant neoplasm of overlapping sites of tongue,cancer,Non CNS Cancer,CCS 2015 -> ICD-39
C029,"Malignant neoplasm of tongue, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-40
C030,Malignant neoplasm of upper gum,cancer,Non CNS Cancer,CCS 2015 -> ICD-41
C031,Malignant neoplasm of lower gum,cancer,Non CNS Cancer,CCS 2015 -> ICD-42
C039,"Malignant neoplasm of gum, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-43
C039,"Malignant neoplasm of gum, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-44
C040,Malignant neoplasm of anterior floor of mouth,cancer,Non CNS Cancer,CCS 2015 -> ICD-45
C041,Malignant neoplasm of lateral floor of mouth,cancer,Non CNS Cancer,CCS 2015 -> ICD-46
C048,Malignant neoplasm of overlapping sites of floor of mouth,cancer,Non CNS Cancer,CCS 2015 -> ICD-47
C049,"Malignant neoplasm of floor of mouth, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-48
C050,Malignant neoplasm of hard palate,cancer,Non CNS Cancer,CCS 2015 -> ICD-49
C051,Malignant neoplasm of soft palate,cancer,Non CNS Cancer,CCS 2015 -> ICD-50
C052,Malignant neoplasm of uvula,cancer,Non CNS Cancer,CCS 2015 -> ICD-51
C059,"Malignant neoplasm of palate, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-52
C060,Malignant neoplasm of cheek mucosa,cancer,Non CNS Cancer,CCS 2015 -> ICD-53
C061,Malignant neoplasm of vestibule of mouth,cancer,Non CNS Cancer,CCS 2015 -> ICD-54
C062,Malignant neoplasm of retromolar area,cancer,Non CNS Cancer,CCS 2015 -> ICD-55
C0689,Malignant neoplasm of overlapping sites of other parts of mouth,cancer,Non CNS Cancer,CCS 2015 -> ICD-56
C069,"Malignant neoplasm of mouth, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-57
C07,Malignant neoplasm of parotid gland,cancer,Non CNS Cancer,CCS 2015 -> ICD-58
C080,Malignant neoplasm of submandibular gland,cancer,Non CNS Cancer,CCS 2015 -> ICD-59
C081,Malignant neoplasm of sublingual gland,cancer,Non CNS Cancer,CCS 2015 -> ICD-60
C089,"Malignant neoplasm of major salivary gland, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-61
C089,"Malignant neoplasm of major salivary gland, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-62
C090,Malignant neoplasm of tonsillar fossa,cancer,Non CNS Cancer,CCS 2015 -> ICD-63
C091,Malignant neoplasm of tonsillar pillar (anterior) (posterior),cancer,Non CNS Cancer,CCS 2015 -> ICD-64
C099,"Malignant neoplasm of tonsil, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-65
C100,Malignant neoplasm of vallecula,cancer,Non CNS Cancer,CCS 2015 -> ICD-66
C101,Malignant neoplasm of anterior surface of epiglottis,cancer,Non CNS Cancer,CCS 2015 -> ICD-67
C102,Malignant neoplasm of lateral wall of oropharynx,cancer,Non CNS Cancer,CCS 2015 -> ICD-68
C103,Malignant neoplasm of posterior wall of oropharynx,cancer,Non CNS Cancer,CCS 2015 -> ICD-69
C104,Malignant neoplasm of branchial cleft,cancer,Non CNS Cancer,CCS 2015 -> ICD-70
C108,Malignant neoplasm of overlapping sites of oropharynx,cancer,Non CNS Cancer,CCS 2015 -> ICD-71
C108,Malignant neoplasm of overlapping sites of oropharynx,cancer,Non CNS Cancer,CCS 2015 -> ICD-72
C109,"Malignant neoplasm of oropharynx, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-73
C110,Malignant neoplasm of superior wall of nasopharynx,cancer,Non CNS Cancer,CCS 2015 -> ICD-74
C111,Malignant neoplasm of posterior wall of nasopharynx,cancer,Non CNS Cancer,CCS 2015 -> ICD-75
C112,Malignant neoplasm of lateral wall of nasopharynx,cancer,Non CNS Cancer,CCS 2015 -> ICD-76
C113,Malignant neoplasm of anterior wall of nasopharynx,cancer,Non CNS Cancer,CCS 2015 -> ICD-77
C118,Malignant neoplasm of overlapping sites of nasopharynx,cancer,Non CNS Cancer,CCS 2015 -> ICD-78
C119,"Malignant neoplasm of nasopharynx, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-79
